@relation 'weka-code-br-v6:-C 26'

@attribute '<Method is part of class that contains the name css>' {true,false}
@attribute '<Method is part of class that ends with Request>' {true,false}
@attribute '<Method is part of class that contains the name hibernate>' {true,false}
@attribute '<Method name contains setheader>' {true,false}
@attribute '<Return type is Servlet>' {true,false}
@attribute '<Method is part of an anonymous class>' {true,false}
@attribute '<Method from class web invoked>' {true,false}
@attribute '<Method is part of class that contains the name web>' {true,false}
@attribute '<Parameter type contains java.lang.string>' {true,false}
@attribute '<Return type is Document>' {true,false}
@attribute '<Matching parameter type to return type.>' {true,false}
@attribute '<Method is part of class that contains the name input>' {true,false}
@attribute '<Method is part of class that ends with Render>' {true,false}
@attribute '<Implicit method>' {true,false}
@attribute '<Method is part of class that contains the name html>' {true,false}
@attribute '<Method name starts with set>' {true,false}
@attribute '<Method name contains saniti>' {true,false}
@attribute '<Method is part of class that ends with Encoder>' {true,false}
@attribute '<Return type is java.lang.String>' {true,false}
@attribute '<Method has parameters>' {true,false}
@attribute '<Method is part of class that contains the name page>' {true,false}
@attribute '<Return type is Request>' {true,false}
@attribute '<Return type is Node>' {true,false}
@attribute '<Method starts with on and has void/bool return type>' {true,false}
@attribute '<Method is part of class that contains the name dom>' {true,false}
@attribute '<Method is part of inner class>' {true,false}
@attribute CWE79 {0,1}

@data
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,?,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,?,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,?,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,0
false,false,false,false,false,false,?,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0
